PC1,PC2,Class
52.803284,4.136681,COAD
-15.260814,-30.140694,LUAD
40.944027,16.212055,COAD
46.992565,23.677435,COAD
46.063705,31.242077,PRAD
9.891979,-22.915358,LUAD
47.94762,-36.49796,BRCA
-22.776644,-34.537273,BRCA
-76.20629,12.862607,KIRC
-76.14743,44.90798,KIRC
38.72161,-32.03222,BRCA
70.716156,20.222149,COAD
44.375862,134.49825,PRAD
-68.05758,77.6186,KIRC
15.742704,37.64782,PRAD
3.89787,-33.70024,BRCA
41.30077,-60.568203,BRCA
-93.8202,-13.845169,KIRC
3.0421994,-69.738594,BRCA
2.4904754,-65.18268,BRCA
15.827459,-27.145971,BRCA
70.60738,102.65589,BRCA
7.5111256,44.826263,LUAD
10.589151,-15.684805,LUAD
5.894364,-35.535538,BRCA
-5.0055676,-33.750957,BRCA
13.683106,-34.0485,BRCA
-47.455303,54.22162,KIRC
-81.254234,20.71513,KIRC
-81.60998,-2.8754241,KIRC
-87.62107,3.4351099,KIRC
27.604506,44.618343,BRCA
-4.0002947,-55.600914,BRCA
27.182007,-32.822704,BRCA
-76.003365,14.776537,KIRC
-0.0077291545,-47.80567,BRCA
-0.7868734,-38.038403,BRCA
1.7272227,-10.148052,LUAD
11.753241,20.96543,PRAD
13.217275,18.900755,BRCA
-3.02049,-38.401447,BRCA
70.41004,30.472708,COAD
15.003456,2.8362207,LUAD
26.438904,43.500908,PRAD
8.481547,-66.502205,BRCA
7.009973,-52.900055,BRCA
-5.742251,-38.206955,BRCA
91.218994,33.23162,COAD
0.6632727,7.6292057,BRCA
-12.122433,-15.375141,PRAD
-14.112114,-46.83914,BRCA
37.302258,7.1084,COAD
45.17078,20.64003,LUAD
4.62116,7.1150165,LUAD
29.441343,15.030059,PRAD
-100.73264,1.5575895,KIRC
22.284386,17.013512,BRCA
-82.77893,53.833385,KIRC
-74.90947,48.49719,KIRC
-40.2823,-69.356384,LUAD
24.721798,11.489836,COAD
-27.398542,18.208986,KIRC
-8.9946,-71.56019,BRCA
8.4956045,-50.7648,BRCA
40.41585,-40.23846,BRCA
-38.260643,-57.12045,BRCA
-81.4015,32.84609,KIRC
-3.0222676,-57.489887,BRCA
13.218497,-33.45019,BRCA
30.30941,23.558859,PRAD
30.30404,-10.230673,BRCA
-90.82343,1.7527634,KIRC
3.7716055,-42.927948,BRCA
-35.011574,11.308007,LUAD
16.438555,27.398607,PRAD
-60.664993,-1.0501733,KIRC
20.635124,-39.34896,BRCA
47.744312,23.220943,PRAD
58.684807,10.257325,COAD
-1.1481857,16.682535,BRCA
5.5868483,-23.153612,BRCA
33.68054,-26.537971,BRCA
14.643796,-5.988619,LUAD
37.991234,33.907494,LUAD
-7.819506,7.4522743,LUAD
6.2792873,-65.9124,BRCA
13.667011,-24.22129,BRCA
13.089344,42.71302,PRAD
-8.751553,-18.523918,LUAD
-4.936615,-72.77494,BRCA
-82.693504,4.92685,KIRC
10.443561,-48.488056,BRCA
53.912838,24.353481,COAD
15.4579525,-8.145127,COAD
-4.956044,-2.7041984,LUAD
20.392405,-23.36968,BRCA
-81.917,18.798944,KIRC
1.2779404,-56.867702,BRCA
33.3097,-52.156513,BRCA
29.690279,9.726489,BRCA
56.00306,12.765565,COAD
2.5489442,27.766012,LUAD
37.86038,15.509082,COAD
-28.091196,47.75369,KIRC
18.777452,47.25493,PRAD
-88.90767,0.06426,KIRC
13.154347,7.0051217,BRCA
-20.858513,-40.982548,BRCA
-85.38421,15.223621,KIRC
-9.826803,-37.281174,BRCA
72.587425,18.552673,COAD
25.104282,37.7167,PRAD
14.473195,-26.44617,LUAD
37.91205,38.510468,PRAD
41.988914,61.1157,BRCA
-84.41791,5.717311,KIRC
35.110165,11.217621,PRAD
9.484928,-37.978725,BRCA
54.335773,4.9177384,COAD
-75.595245,18.178295,KIRC
-70.16534,60.45061,KIRC
57.229095,5.887714,COAD
53.436623,19.078226,COAD
32.18179,54.90451,PRAD
18.7862,-62.109035,BRCA
51.393818,49.729614,BRCA
35.02173,13.826406,COAD
-75.53999,10.750474,KIRC
40.121746,58.11616,BRCA
9.498218,51.144108,PRAD
47.593,-1.9882731,BRCA
30.171886,-35.679623,BRCA
-3.2612388,-69.59786,BRCA
-36.2761,-3.2426033,LUAD
1.8881683,-17.308006,LUAD
-119.14554,-101.78473,KIRC
-16.960005,8.667979,LUAD
-2.9746802,-38.87925,BRCA
-78.53649,10.869873,KIRC
65.73145,12.076393,COAD
11.599195,-31.255426,PRAD
30.387981,-37.570732,BRCA
13.739447,5.5673165,LUAD
10.665841,19.153908,PRAD
29.28724,15.943731,BRCA
58.447823,54.3479,BRCA
3.8535087,-48.89326,BRCA
13.480228,21.485582,LUAD
1.2904012,-49.36331,BRCA
49.852943,2.95025,BRCA
6.9089437,39.714203,PRAD
25.836493,-15.948238,BRCA
21.58429,27.14193,PRAD
33.639694,0.8337922,COAD
0.0497823,-59.762314,BRCA
29.112022,-32.682774,LUAD
55.47937,-37.98336,BRCA
33.29855,-50.78005,BRCA
-10.9725,1.0601363,LUAD
14.185217,-37.132908,BRCA
-5.5632067,-17.77251,BRCA
-12.9429865,-84.78431,BRCA
-67.850815,38.330463,KIRC
-3.395753,0.6473682,LUAD
6.257766,-8.679773,PRAD
14.770389,-29.987352,BRCA
12.998044,27.364677,PRAD
-64.96767,59.600044,KIRC
30.148977,29.031303,BRCA
-85.01476,20.640686,KIRC
66.440315,43.358223,COAD
14.949969,-83.96565,BRCA
28.081085,30.09219,PRAD
-10.891555,-22.193745,LUAD
-80.363205,-8.997548,KIRC
39.017654,-29.942581,BRCA
12.78873,-35.977013,BRCA
-56.055378,67.39896,KIRC
11.055363,-50.84748,BRCA
-15.577159,-24.11352,LUAD
26.345999,11.396661,BRCA
12.699997,-40.70709,BRCA
24.806684,14.200137,PRAD
80.87256,45.584316,COAD
36.353527,0.13921797,BRCA
-36.874218,64.152,KIRC
-1.7719934,-13.884192,LUAD
48.22104,92.98949,PRAD
54.041924,-7.079321,BRCA
50.56747,37.038837,PRAD
-3.379369,-49.88498,BRCA
1.0839206,-51.574936,BRCA
-10.917351,-70.057434,BRCA
6.9738135,-43.964672,BRCA
-64.13789,40.907387,KIRC
-37.72713,-33.60928,LUAD
0.64349705,11.849324,BRCA
-84.24539,8.692356,KIRC
-2.606274,-56.124023,BRCA
12.316406,-50.76725,BRCA
21.110222,1.899915,LUAD
-26.287039,-1.9142122,LUAD
-54.201134,35.39143,KIRC
36.88909,16.717485,COAD
16.658863,0.049020845,PRAD
53.19043,4.1508865,COAD
18.15423,-3.4136748,BRCA
-93.116325,-1.1091764,KIRC
-90.36012,3.3102982,KIRC
31.572327,26.70377,BRCA
5.403984,27.989895,PRAD
-88.52612,15.452245,KIRC
11.526999,25.980022,COAD
-26.014944,-17.994238,LUAD
16.980093,4.2658024,LUAD
32.15774,-65.703926,BRCA
15.162781,23.853441,PRAD
18.679338,6.3373313,PRAD
10.991885,-16.2544,BRCA
18.316717,-7.8679237,PRAD
-20.028614,-35.259308,LUAD
-68.7408,41.188988,KIRC
12.368864,-6.960439,PRAD
16.528715,-2.7544656,BRCA
39.427944,41.825077,LUAD
17.302534,-7.4902463,PRAD
39.115543,47.102127,LUAD
-7.4713655,-43.96103,BRCA
21.187513,-31.463758,BRCA
47.669296,5.544758,COAD
8.707692,26.155767,LUAD
-86.24185,28.411161,KIRC
49.7717,0.8860002,COAD
14.775445,15.994547,LUAD
33.72686,-9.746977,BRCA
37.280697,48.214287,PRAD
11.657641,47.407536,BRCA
-17.116673,-14.598963,BRCA
0.43336737,-0.44354683,PRAD
0.7832703,-52.738495,BRCA
56.96755,0.1879254,COAD
-4.771971,-50.608418,BRCA
70.68359,45.884228,COAD
-78.920074,20.242044,KIRC
20.854532,-56.62362,BRCA
4.3179874,-57.028286,BRCA
39.412758,-8.077614,LUAD
20.298113,-27.801424,LUAD
-22.664783,-34.921165,LUAD
21.231255,11.915334,COAD
-89.582344,-8.187136,KIRC
-6.550193,-19.13785,LUAD
5.6059775,36.10175,LUAD
2.0232632,-51.41153,BRCA
3.3187122,-30.518063,BRCA
-27.581358,10.514443,KIRC
-10.279729,-8.30014,PRAD
21.850718,30.442387,LUAD
-1.303115,-3.4699314,PRAD
28.622997,-14.544029,BRCA
-102.58651,-32.633556,KIRC
63.724785,-23.6762,BRCA
-66.6064,36.337856,KIRC
-54.820816,73.62644,KIRC
29.579815,62.063526,PRAD
13.960404,17.43802,PRAD
-21.712933,-17.262827,LUAD
13.075469,-5.0712943,BRCA
-42.309776,27.682384,KIRC
58.49356,17.494255,COAD
39.731495,7.834031,COAD
19.591986,-54.989014,BRCA
-87.04835,2.2553244,KIRC
-88.07789,-10.18632,KIRC
-18.798792,-56.008846,BRCA
15.157725,-8.394556,BRCA
5.5581355,0.99147654,PRAD
-56.42931,16.8232,KIRC
25.045443,8.160532,COAD
-5.3431897,0.45376384,BRCA
20.138018,-28.235327,BRCA
43.420837,26.772528,COAD
10.739417,8.336993,LUAD
-5.119099,-41.58138,BRCA
-6.797069,-8.463668,BRCA
24.856562,-33.094563,BRCA
-89.83757,12.703688,KIRC
20.106571,-5.341911,PRAD
24.4802,20.987644,LUAD
-10.929949,2.6649873,LUAD
51.13261,-7.8434005,BRCA
-67.20812,45.10622,KIRC
59.69229,9.39515,COAD
-80.88566,7.343199,KIRC
-94.323875,-2.4852612,KIRC
43.102783,4.0133576,BRCA
6.296172,38.09151,PRAD
18.213085,18.983576,LUAD
-87.391205,28.53401,KIRC
40.760494,-37.759968,BRCA
63.90899,7.4448056,COAD
21.090816,38.862522,LUAD
-9.428351,14.990877,LUAD
8.869095,2.976738,LUAD
-2.6970491,8.726088,PRAD
1.6342425,28.150558,LUAD
-68.555336,45.012413,KIRC
12.548497,-54.123875,BRCA
-26.363028,-27.179443,BRCA
55.830776,3.3593473,COAD
13.924181,40.951916,PRAD
17.690151,-36.113007,BRCA
-25.006445,-23.160732,BRCA
27.53543,-48.25352,BRCA
-93.6697,-7.062718,KIRC
-9.127763,21.266197,LUAD
23.913742,17.24196,LUAD
33.806213,3.2251337,BRCA
26.115005,15.270761,PRAD
24.69054,8.90778,LUAD
-5.625473,-31.221645,LUAD
17.382505,-47.293694,BRCA
-94.0559,0.3002076,KIRC
31.69282,13.622188,PRAD
65.080864,35.29532,COAD
6.7307897,18.622936,LUAD
-6.027425,3.788182,PRAD
43.016666,-11.277647,COAD
-13.268443,22.424322,LUAD
67.08166,30.850922,COAD
-72.68416,11.143505,KIRC
-60.59199,41.89149,KIRC
14.074042,-66.52539,BRCA
32.221207,-31.848532,BRCA
-78.05177,20.671234,KIRC
-53.96852,60.178265,KIRC
33.635162,-5.878319,COAD
-3.0807598,-42.820625,BRCA
1.9312276,-21.215773,LUAD
30.102901,17.293064,PRAD
56.852646,51.838524,PRAD
-98.85695,-19.347782,KIRC
33.31812,-38.1442,BRCA
1.639973,5.927022,LUAD
-23.893356,-50.344685,BRCA
-24.969961,-15.841945,BRCA
42.649937,1.742902,COAD
6.9431314,4.150418,BRCA
51.017365,74.33094,PRAD
17.317017,33.5955,PRAD
1.7217125,-15.147381,BRCA
-8.584471,-67.80636,BRCA
73.451416,32.662453,COAD
32.95344,-49.70559,BRCA
-58.96167,58.39899,KIRC
23.975765,-50.98769,BRCA
-7.538425,13.10997,BRCA
14.018149,1.3956618,COAD
4.630072,-27.474342,BRCA
-3.677928,33.642967,PRAD
30.959146,13.233963,BRCA
17.152157,-60.410072,BRCA
-46.251614,74.92547,KIRC
36.78957,53.014313,PRAD
17.492908,-19.0729,LUAD
-13.102354,-40.420845,BRCA
8.029929,-56.43448,BRCA
-60.61835,12.193602,KIRC
20.002634,-18.689518,BRCA
11.810857,-37.930923,BRCA
-11.160307,-21.29264,BRCA
-34.31127,-50.637745,BRCA
96.176025,73.95363,BRCA
37.456432,-4.7326646,COAD
-26.002655,25.98858,LUAD
2.3022425,14.9463215,LUAD
20.232992,32.064056,BRCA
12.08433,-58.986904,BRCA
39.25091,-54.515923,BRCA
6.664795,38.026844,PRAD
33.239857,-35.422455,BRCA
19.174242,-44.272198,BRCA
-81.376915,10.327887,KIRC
11.490942,41.126156,LUAD
-16.086311,-27.922646,LUAD
-82.64333,21.913607,KIRC
-86.79601,1.7419616,KIRC
-1.8338003,9.487225,LUAD
-35.95998,66.356,KIRC
67.66142,13.4542,COAD
-9.35914,-12.023897,BRCA
72.690475,31.203775,COAD
-101.04809,-5.4870276,KIRC
9.060365,-63.11392,BRCA
1.6519556,-56.534412,BRCA
8.318808,27.54233,PRAD
6.3087697,-3.0874066,PRAD
53.2389,25.697891,PRAD
-14.110142,15.731126,LUAD
31.165335,49.90809,PRAD
22.257408,-7.129011,PRAD
66.966125,-1.8492745,COAD
30.377918,-45.726925,BRCA
-18.22812,-56.85234,BRCA
43.112926,14.612271,COAD
25.211807,12.439984,LUAD
-70.894356,13.539471,KIRC
-0.21060218,-44.768803,BRCA
-67.06021,30.120766,KIRC
55.482372,13.220819,COAD
-16.65655,-30.98072,BRCA
-2.4912317,-51.038887,BRCA
8.733509,12.935406,BRCA
2.0572412,-22.451372,PRAD
-14.80796,14.98984,LUAD
-80.48577,-3.8241768,KIRC
1.5379503,-51.18741,BRCA
-0.5056269,-31.543522,PRAD
-31.090952,46.241074,KIRC
24.556902,23.048607,PRAD
-1.1155466,-25.688906,BRCA
1.4138031,20.03279,LUAD
-64.413795,45.89331,KIRC
21.730083,35.758495,PRAD
-25.35768,25.38228,LUAD
2.0469294,19.488604,PRAD
5.1269464,32.6711,PRAD
80.00261,56.857216,BRCA
-86.03164,41.069218,KIRC
18.644884,43.443886,PRAD
-6.519231,24.319815,LUAD
46.179127,1.017208,COAD
27.13472,13.133663,COAD
-0.32264075,-113.37069,BRCA
0.4825255,-17.730556,BRCA
14.185491,-45.878754,BRCA
5.2954054,-21.456945,LUAD
-83.50963,5.2041264,KIRC
-61.029633,53.512806,KIRC
-79.58648,21.077847,KIRC
25.772644,-14.423017,BRCA
-2.1467164,-9.48331,LUAD
-92.83773,3.6484458,KIRC
13.330965,13.956403,PRAD
-1.2825428,-45.516243,BRCA
1.8033704,17.180159,LUAD
46.838566,105.04998,PRAD
-18.62617,-53.047867,BRCA
47.502823,29.731077,PRAD
41.190598,-33.7248,BRCA
-58.155766,71.99388,KIRC
25.026783,-22.360888,BRCA
-14.504472,-1.9795794,COAD
16.391607,17.091593,PRAD
2.3076353,36.566776,PRAD
-94.11008,-5.4280343,KIRC
-8.404158,17.4904,PRAD
-41.079052,76.38384,KIRC
3.9946332,-57.401276,BRCA
-4.821555,12.48472,LUAD
-7.768255,10.04072,LUAD
22.357075,-28.794744,BRCA
31.294754,83.095665,BRCA
-74.857315,23.3622,KIRC
1.335194,-41.36989,BRCA
33.3609,15.628781,BRCA
-28.926231,-62.818523,BRCA
45.073982,-1.1386065,BRCA
-76.85779,35.86844,KIRC
-58.99398,81.78516,KIRC
2.8460999,31.810898,PRAD
47.55709,-0.5660757,COAD
-85.65933,8.014271,KIRC
30.434498,7.5863647,BRCA
15.311324,78.649124,BRCA
-59.574303,25.63976,KIRC
3.4161782,-54.16925,BRCA
-10.85109,-6.9797792,LUAD
23.741364,-22.522528,BRCA
37.31783,-15.189943,BRCA
-15.207851,-21.57997,PRAD
18.804655,58.53883,BRCA
31.68591,22.222715,PRAD
21.715197,2.921671,BRCA
82.720566,12.227868,COAD
7.3328567,-17.318924,BRCA
27.56733,-41.339287,BRCA
-73.71309,-18.504923,KIRC
10.120173,-15.829474,LUAD
25.800398,-38.48975,BRCA
13.815905,-47.30937,BRCA
8.3493395,7.195294,PRAD
8.7749195,-58.97891,BRCA
25.824905,45.177338,PRAD
-5.638141,-3.947975,COAD
10.66392,-60.373028,BRCA
15.782856,4.8248496,BRCA
0.21654564,-35.82074,BRCA
-16.244402,-18.722506,LUAD
-6.4816575,-109.96148,BRCA
13.696945,20.370476,LUAD
13.963999,3.9775493,BRCA
-11.835111,-12.838852,LUAD
-58.77273,49.026394,KIRC
-87.595276,10.10689,KIRC
33.21237,-10.95395,COAD
20.406147,3.7740545,COAD
-9.036997,-62.975178,BRCA
-30.470633,-39.32776,BRCA
19.336199,-25.701159,BRCA
31.37501,9.32761,LUAD
-23.816849,-41.9482,BRCA
6.9590592,2.7336576,LUAD
-26.31694,16.493975,KIRC
5.5497737,-3.696685,BRCA
-12.952962,-0.15049827,LUAD
-55.514557,76.92266,KIRC
31.336983,5.8301964,LUAD
1.868569,-14.482709,LUAD
20.102495,13.015044,LUAD
-88.78846,-0.57731235,KIRC
-16.013073,-47.347385,BRCA
87.36024,103.17056,PRAD
29.398798,-17.086395,BRCA
35.044216,-0.5817635,BRCA
-73.09995,17.464186,KIRC
23.815952,-61.255817,BRCA
27.759872,-19.552176,PRAD
-17.932632,39.711372,KIRC
18.98276,-45.309788,BRCA
-14.998025,-75.45771,BRCA
23.468834,-63.790146,BRCA
30.56328,-37.256645,BRCA
13.465289,-4.977559,PRAD
-24.006197,-25.468756,LUAD
16.240038,-32.379013,BRCA
24.153284,23.738625,LUAD
0.64103097,12.718814,COAD
27.351774,45.41415,PRAD
20.835257,11.587309,PRAD
